Methyl ethyl ketone	42.8	88.4	7.06356	1261.339	221.969
n-Butane	-78	-0.3	6.82485	943.453	239.711
Ethyl chloride	-55.9	12.5	6.98647	1030.007	238.612
p-Xylene	58.3	139.3	6.9882	1451.792	215.111
Propionic acid	72.4	128.3	7.71423	1733.418	217.724
Ethylbeuzene	56.5	137.1	6.9565	1423.543	213.09
Ethyl acetate	-20	150	7.09808	1238.71	217
Methanol	-20	140	7.87863	1473.11	230
i-Octane	41.7	118.5	6.88814	1319.529	211.625
Diethyl keytone	56.5	111.3	7.02529	1310.281	214.19
Aniline	102.6	185.2	7.3201	1731.515	206.04
Styrene	29.9	44.8	7.06623	1507.434	214.985
Butyric acid	20	150	8.71019	2433.014	255.18
Formaldehyde	-109.4	-22.3	7.19578	970.595	244.124
Acetic anhydride	62.8	139.4	7.14948	1444.718	199.81
Dimethyl ether	-78.2	-24.9	6.97603	889.264	241.957
n-Octane	52.9	126.6	6.91874	1351.756	209.1
Ethylene oxide	0.3	31.8	8.69016	2005.779	334.765
1-Butanol	89.2	125.7	7.36366	1305.198	173.42
n-Pentane	13.3	36.8	6.84471	1060.793	231.541
Formic acid	37.4	100.7	7.58178	1699.173	260.714
Methyl chloride	-75	5	7.09349	948.582	249.336
Nitrobenzene	134.1	210.6	7.11562	1746.586	201.783
Ethyl acetate	-20	150	7.09808	1238.71	217
n-Nonane	70.3	151.8	6.93764	1430.459	201.808
Cyclohexanol	93.7	160.7	6.2553	912.866	109.12
Diethyl keytone	56.5	111.3	7.02529	1310.281	214.19
Diethyl keytone	56.5	111.3	7.02529	1310.281	214.19
Methyl ethyl ketone	42.8	88.4	7.06356	1261.339	221.969
Formic acid	37.4	100.7	7.58178	1699.173	260.714
Acetone	-12.9	55.3	7.11714	1210.595	229.66
n-Butane	-78	-0.3	6.82485	943.453	239.711
Aniline	102.6	185.2	7.3201	1731.515	206.04
Methyl bromide	-70	3.6	7.09084	1046.066	244.914
Butyric acid	20	150	8.71019	2433.014	255.18
Methyl methacrylate	39.2	89.2	8.40919	2050.467	274.369
1-Pentene	12.8	30.7	6.84268	1043.206	233.344
n-Octane	52.9	126.6	6.91874	1351.756	209.1
Cyclohexanol	93.7	160.7	6.2553	912.866	109.12
Benzene	14.5	80.9	6.89272	1203.531	219.88
Dichloromethane	-40	40	7.40916	1325.938	252.616
2-Propanol	52.3	89.3	7.74021	1359.517	197.527
Dichloromethane	-40	40	7.40916	1325.938	252.616
Propylene oxide	-24.2	34.8	7.01443	1086.369	228.594
Cyclohexane	19.9	81.6	6.84941	1206.001	223.148
Butyric acid	20	150	8.71019	2433.014	255.18
Acetone	-12.9	55.3	7.11714	1210.595	229.66
2-Butanol	72.4	107.1	7.20131	1157	168.27
Ethylene oxide	0.3	31.8	8.69016	2005.779	334.765
1-Octene	44.9	122.2	6.93637	1355.779	213.022
n-Hexane	13	69.5	6.88555	1175.817	224.867
Chlorobenzene	0	42	7.1069	1500	224
Ethanol	19.6	93.4	8.1122	1592.864	226.18
Benzene	14.5	80.9	6.89272	1203.531	219.88
Dimethylamine	-71.8	6.9	7.08212	960.242	221.667
n-Heptane	25.9	99.3	6.90253	1267.828	216.823
Diethylene glycol	130	243	7.63666	1939.359	162.71
i-Octane	41.7	118.5	6.88814	1319.529	211.625
Acrylic acid	20	70	5.65204	648.629	154.683
Chlorobenzene	0	42	7.1069	1500	224
o-Xylene	63.5	145.4	7.00154	1476.393	213.872
n-Decane	94.5	175.1	6.95707	1503.568	194.73
i -Hexane	12.8	61.1	6.86839	1151.401	228.477
Ethyl chloride	-55.9	12.5	6.98647	1030.007	238.612
Chloroform	-10.4	60.3	6.95465	1170.966	226.23
i-Heptane	18.5	90.9	6.87689	1238.122	219.783
1-Pentane	16.3	28.6	6.73457	992.019	229.564
1-Hexene	15.9	64.3	6.8688	1154.646	226.046
Methylcyclohexane	25.6	101.8	6.82827	1273.673	221.723
1-Octene	44.9	122.2	6.93637	1355.779	213.022
1-Decene	86.8	171.6	6.95433	1497.527	197.05
Dimethyl ether	-78.2	-24.9	6.97603	889.264	241.957
Nitromethane	55.7	136.4	7.28166	1446.937	227.6
n-Nonane	70.3	151.8	6.93764	1430.459	201.808
Methylamine	-83.1	-6.2	7.3369	1011.532	233.286
Nitromethane	55.7	136.4	7.28166	1446.937	227.6
Diethyl ether	-60.8	19.9	6.92032	1064.066	228.79
Cyclohexane	19.9	81.6	6.84941	1206.001	223.148
Cyclohexane	19.9	81.6	6.84941	1206.001	223.148
Carbon disulfide	3.6	79.9	6.94279	1169.11	241.59
Ethylene glycol	50	200	8.09083	2088.936	203.454
1-Nonene	66.6	147.9	6.95777	1437.862	205.814
2-Butanol	72.4	107.1	7.20131	1157	168.27
Styrene	29.9	44.8	7.06623	1507.434	214.985
1-Heptene	21.6	94.5	6.91381	1265.12	220.051
Methyl isobutyl ketone	21.7	116.2	6.67272	1168.408	191.944
n-Butane	-78	-0.3	6.82485	943.453	239.711
Propionic acid	72.4	128.3	7.71423	1733.418	217.724
1-Propanol	60.2	104.6	7.74416	1437.686	198.463
1-Decene	86.8	171.6	6.95433	1497.527	197.05
Diethyl ether	-60.8	19.9	6.92032	1064.066	228.79
Carbon disulfide	3.6	79.9	6.94279	1169.11	241.59
Chlorobenzene	0	42	7.1069	1500	224
Carbon  tetrachloride	14.1	76	6.87926	1212.021	226.4
Cyclohexane	19.9	81.6	6.84941	1206.001	223.148
1-Pentane	16.3	28.6	6.73457	992.019	229.564
Methylcyclohexane	25.6	101.8	6.82827	1273.673	221.723
Aniline	102.6	185.2	7.3201	1731.515	206.04
Methyl acetate	1.8	55.8	7.06524	1157.63	219.726
Chloroform	-10.4	60.3	6.95465	1170.966	226.23
Ammonia	-83	60	7.55466	1002.711	247.88
2-Butanol	72.4	107.1	7.20131	1157	168.27
1-Butene	-77.5	-3.7	6.53101	810.261	228.06
Glycerol	183.3	260.4	6.16501	1036.056	28.097
Acetone	-12.9	55.3	7.11714	1210.595	229.66
Ethanolamine	65.4	170.9	7.4568	1577.67	173.36
Vinyl acetate	21.8	72	7.2101	1296.13	226.655
m-Xylene	59.2	140	7.00646	1460.183	214.827
Chloroform	-10.4	60.3	6.95465	1170.966	226.23
Pyridine	67.3	152.9	7.04115	1373.799	214.979
1-Butene	-77.5	-3.7	6.53101	810.261	228.06
Carbon  tetrachloride	14.1	76	6.87926	1212.021	226.4
1-Pentanol	74.7	156	7.18246	1287.625	161.33
Cyclohexane	19.9	81.6	6.84941	1206.001	223.148
n-Decane	94.5	175.1	6.95707	1503.568	194.73
Phenol	107.2	181.8	7.13301	1516.79	174.954
2-Butanol	72.4	107.1	7.20131	1157	168.27
Naphthalene	80.3	179.5	7.03358	1756.328	204.842
1-Nonene	66.6	147.9	6.95777	1437.862	205.814
Cyclohexane	19.9	81.6	6.84941	1206.001	223.148
Chlorobenzene	0	42	7.1069	1500	224
Phenol	107.2	181.8	7.13301	1516.79	174.954
Propylene oxide	-24.2	34.8	7.01443	1086.369	228.594
Acetone	-12.9	55.3	7.11714	1210.595	229.66
n-Hexane	13	69.5	6.88555	1175.817	224.867
Trichloroethylene	17.8	86.5	6.51827	1018.603	192.731
1-Butanol	89.2	125.7	7.36366	1305.198	173.42
Dimethyl ether	-78.2	-24.9	6.97603	889.264	241.957
Carbon disulfide	3.6	79.9	6.94279	1169.11	241.59
Carbon disulfide	3.6	79.9	6.94279	1169.11	241.59
1-Heptene	21.6	94.5	6.91381	1265.12	220.051
1-Pentanol	74.7	156	7.18246	1287.625	161.33
i-Butane	-85.1	-11.6	6.78866	899.617	241.94
Acetaldehyde	-0.2	34.4	8.00552	1600.017	291.809
Pyridine	67.3	152.9	7.04115	1373.799	214.979
i-Butane	-85.1	-11.6	6.78866	899.617	241.94
Methyl isobutyl ketone	21.7	116.2	6.67272	1168.408	191.944
Hydrogen Cyanide	-16.4	46.2	7.52823	1329.49	260.418
Aniline	102.6	185.2	7.3201	1731.515	206.04
Chloroform	-10.4	60.3	6.95465	1170.966	226.23
Cyclohexanol	93.7	160.7	6.2553	912.866	109.12
Diethyl ether	-60.8	19.9	6.92032	1064.066	228.79
n-Butane	-78	-0.3	6.82485	943.453	239.711
Dichloromethane	-40	40	7.40916	1325.938	252.616
Benzene	14.5	80.9	6.89272	1203.531	219.88
1-Butene	-77.5	-3.7	6.53101	810.261	228.06
Ammonia	-83	60	7.55466	1002.711	247.88
Benzene	14.5	80.9	6.89272	1203.531	219.88
Acetic acid	29.8	126.5	7.38782	1533.313	222.3
Ammonia	-83	60	7.55466	1002.711	247.88
Methylamine	-83.1	-6.2	7.3369	1011.532	233.286
Carbon  tetrachloride	14.1	76	6.87926	1212.021	226.4
Butyric acid	20	150	8.71019	2433.014	255.18
Ethanolamine	65.4	170.9	7.4568	1577.67	173.36
Chloroform	-10.4	60.3	6.95465	1170.966	226.23
Methyl chloride	-75	5	7.09349	948.582	249.336
Nitrobenzene	134.1	210.6	7.11562	1746.586	201.783
Acrylic acid	20	70	5.65204	648.629	154.683
Ammonia	-83	60	7.55466	1002.711	247.88
i-Heptane	18.5	90.9	6.87689	1238.122	219.783
Formaldehyde	-109.4	-22.3	7.19578	970.595	244.124
Ethanol	19.6	93.4	8.1122	1592.864	226.18
Chloroform	-10.4	60.3	6.95465	1170.966	226.23
Toluene	35.3	111.5	6.95805	1346.773	219.693
Carbon  tetrachloride	14.1	76	6.87926	1212.021	226.4
1-Butene	-77.5	-3.7	6.53101	810.261	228.06
Methyl methacrylate	39.2	89.2	8.40919	2050.467	274.369
Naphthalene	80.3	179.5	7.03358	1756.328	204.842
n-Heptane	25.9	99.3	6.90253	1267.828	216.823
Diethylene glycol	130	243	7.63666	1939.359	162.71
Formaldehyde	-109.4	-22.3	7.19578	970.595	244.124
i-Butane	-85.1	-11.6	6.78866	899.617	241.94
1-Pentene	12.8	30.7	6.84268	1043.206	233.344
Diethylene glycol	130	243	7.63666	1939.359	162.71
1-Propanol	60.2	104.6	7.74416	1437.686	198.463
Ethylene glycol	50	200	8.09083	2088.936	203.454
Glycerol	183.3	260.4	6.16501	1036.056	28.097
1-Butanol	89.2	125.7	7.36366	1305.198	173.42
Acrylic acid	20	70	5.65204	648.629	154.683
i-Butane	-85.1	-11.6	6.78866	899.617	241.94
n-Pentane	13.3	36.8	6.84471	1060.793	231.541
n-Decane	94.5	175.1	6.95707	1503.568	194.73
1-Butanol	89.2	125.7	7.36366	1305.198	173.42
1-Decene	86.8	171.6	6.95433	1497.527	197.05
Ethylbeuzene	56.5	137.1	6.9565	1423.543	213.09
2-Propanol	52.3	89.3	7.74021	1359.517	197.527
Acrylic acid	20	70	5.65204	648.629	154.683
Cyclohexane	19.9	81.6	6.84941	1206.001	223.148
1-Pentane	16.3	28.6	6.73457	992.019	229.564
Methylcyclohexane	25.6	101.8	6.82827	1273.673	221.723
Aniline	102.6	185.2	7.3201	1731.515	206.04
Methyl acetate	1.8	55.8	7.06524	1157.63	219.726
Chloroform	-10.4	60.3	6.95465	1170.966	226.23
Ammonia	-83	60	7.55466	1002.711	247.88
2-Butanol	72.4	107.1	7.20131	1157	168.27
1-Butene	-77.5	-3.7	6.53101	810.261	228.06
Glycerol	183.3	260.4	6.16501	1036.056	28.097
Acetone	-12.9	55.3	7.11714	1210.595	229.66
Ethanolamine	65.4	170.9	7.4568	1577.67	173.36
Vinyl acetate	21.8	72	7.2101	1296.13	226.655
